cypriot,turkish,greek,english
çerçelli,hamurdan yapılan bir tatlı,γλυκό από ζύμη,dessert made from dough
"fesat, hileci, karmakarışık durum","κακόβουλος, απατεώνας, χαοτική κατάσταση","malicious, deceitful, chaotic situation",
çilte,şilte,στρώμα,mattress
çimbile,değnekle hayvanı dürtmek,τσιμπώ ζώο με ραβδί,prod an animal with a stick
çiriş,yabani pırasa kökünden yapılan yapıştırıcı,κόλλα από άγριο πράσο,adhesive made from wild leek
çitari,bir tür kumaş,είδος υφάσματος,a type of fabric
çivit,gebe kadınların yüz ve vücutlarında oluşan leke,κηλίδες στο πρόσωπο και το σώμα των εγκύων γυναικών,spots on the face and body of pregnant women
çizi,"saban demirinin bıraktığı iz, tarlada ekilmek için açılan çukur çizgisi","ίχνος αρότρου, αυλάκι σποράς","plow trace, furrow for planting"
çorvacı/çorbacı,osmanlı döneminde rum zenginlerine verilen ünvan,τίτλος που δόθηκε σε πλούσιους Έλληνες κατά την Οθωμανική περίοδο,title given to wealthy Greeks during the Ottoman period
çörçöllikya/çörçöludya,pekmez içine atılan hamur parçalarıyla yapılan bir tür tatlı,γλυκό από κομμάτια ζύμης βουτηγμένα σε πετιμέζι,dessert made from dough pieces dipped in molasses
çukko,madeni para,νόμισμα,coin
çul/çulli,çocuk oyunlarında kazanılan sayı,πόντος σε παιδικό παιχνίδι,point in children's games
çunguri,"cimri, eli sıkı",τσιγκούνης,stingy
Akkanto,Isırık,Δάγκωμα,Bite; otherwise influenced
Alopos,Belki,Ίσως,"Maybe, probably?"
Aminiaz,Hesaplamak,Υπολογίζω,Calculate
Amplepo,Görmek,Βλέπω,See
Abusta,Kutu,Κουτί,Box
Anarka,İnce,Λεπτός,Thinly
Anarkovizou,Göğüsleri ayrık,Με μακρινά στήθη,One whose breasts are more distant than usual
Anarkodont,Seyrek dişli,Αραιά δόντια,One who has sparse teeth
Angelossiazomai,Korkutmak,Φοβίζω,I scare
Angelossiasi,Korku,Τρόμος,"The terror, e.g., 'Angelossia came to me', meaning 'I got a scare'"
Antinasso,Sallamak,Κουνάω,Shake
Antinattes,Patates kızartma yöntemi,Τρόπος μαγειρέματος πατάτας,"Cooking mode for potatoes, fried in a pot with a lot of oil, which shake them vigorously during cooking"
Axinostrafos,Ters,Ανάποδα,"Upside down, inverse"
Apopatos,Latrin,Αποχωρητήριο,Latrine
Apparos,At,Άλογο,"Male, female horse"
Apethkia,Zıplama mesafesi,Απόσταση άλματος,"An informal unit of measurement of length, corresponding to the distance that a person can travel by jumping forward from a static position"
Appidi,Armut,Αχλάδι,The pears
Appithkia,Armut ağacı,Αχλαδιά,The pear tree
Arkajin,Dere,Ρυάκι,The stream
Armarola,Dolap,Ντουλάπα,Wardrobe
Arfali,Göbek,Αφαλός,"The belly button; Metaphorically, 'My harfali fell' = I am very hungry"
Arfos,Kardeş,Αδελφός/Αδελφή,"Brother, sister"
Asselia,Adım uzunluğu,Βήμα,"Unit of measurement of length equal to one stride; Metaphorically, the short distance, as well as the lack of effort"
Ajia,Ekmek kabuğu,Κρούστα ψωμιού,"The edge of bread, the crust"
Avlagin,Oluk,Αυλάκι,The groove
Aftento,Yakmak,Ανάβω,Light up
I skim,Hapşırmak,Φτερνίζομαι,I sneeze
Bacla,Kuyruk,Ουρά,The tail of the sheep
Boat,Sıkılmak,Βαριέμαι,I'm bored
Vasto,Tutmak,Κρατώ,Hold
Vilomoutsounos,Çirkin adam,Άσχημος άντρας,The Very Ugly Man
Villa,Erkek cinsel organı,Αρσενικό γεννητικό όργανο,The male genital organ
Vitsa,Değnek,Ράβδος,"The rod; Metaphorically, the very thin man"
Vlanji,Karaciğer,Συκώτι,The liver
Volitzi,Çatı kirişleri,Δοκάρια στέγης,The wooden beam of the roof
Volo,Çamura saplanmak,Κολλήθηκα στη λάσπη,I got stuck in the mud
Bortakos,Kurbağa,Βάτραχος,The frog
Bortos,Öküz,Βόδι,"The male ox; Metaphorically, the Fat Man or the man who has no manners"
Voukka,Yanak,Μάγουλο,Cheek
Vukkalletikon,Tombul yanaklı çocuk,Παιδί με χοντρά μάγουλα,"Kid with chubby cheeks; Metaphorically, the spoiled one"
Whelk,Isırık,Δάγκωμα,The bite
Vounoloui,Tepe,Λόφος,The hill
Bandabulya,"Pazar, kapalı Pazar",Μπανταμπουλιά,"Market, covered market"
Banigo,Mutfak tezgahı,Μπανίγκο,Kitchen counter
Bögün,Bugün,Σήμερα,Today
Bavuri,Bidon,Μπαβουρί,Canister
Barya,"Dost, arkadaş gurubu",Παρέα,"Friend, group of friends"
Cira,Kadın,Τσίρα,(Greek) Woman
Ekşi,Limon,Λεμόνι,Lemon
Fica,Deniz yosunu,Φύκια,Seaweed
Gabbella,Şapka,Γκαπέλα,Hat
Guli,Köpek yavrusu,Κουτάβι,Puppy
İstatü,Statü,Στάτους,Status
Lamarina,Sac,Λαμαρίνα,Sheet metal
Lenger,Kova,Λένγκερ,Bucket
Mısmıl,Sağlam,Γερός,Sturdy
Mop,Paspas,Σφουγγαρίστρα,Mop
Penna,Tükenmez kalem,Πένα,Pen
Pünez ,Raptiye/süzgeç,Πούνες/Σουρωτήρι,Thumbtack/Strainer
Pirilli ,Camdan misket,Μαρμαράκι,Marble (glass bead)
Pasadembo ,Kabak çekirdeği,Σπόρια,Pumpkin seed
Seki,Basamak,Σκαλοπάτι,Step
Saggo,Ceket,Σακάκι,Jacket
Solina,"Demir boru, su borusu",Σωλήνας,Pipe
Motini,"Araba, otomobil",Αυτοκίνητο,Car
Yiro,"Dönmek, tur atmak",Γύρος,To turn
Zibil,Çöp,Σκουπίδι,Garbage
Zip,Fermuar,Φερμουάρ,Zipper
ακκάννω,ısırmak,δαγκώνω,bite
άλλωσπως,başka şekilde,"με άλλο τρόπο, αλλιώς",otherwise
αλόπως,"belki, muhtemelen","μήπως, πιθανώς","perhaps, possibly"
αμινιάζω,hesaplamak,υπολογίζω,calculate
αμπλέπω,görmek,βλέπω,see
αμπούστα,kutu,κουτί,box
ανάνοικτος,açılmamış,αυτός που δεν έχει ανοικτεί ποτέ,unopened
ανάρκα,seyrek,αραιά,sparsely
αναρκοβυζού,aralıklı göğüsler,αυτή που τα στήθη της έχουν μεγαλύτερη απόσταση,wide-spaced breasts
αναρκοδόντης,seyrek dişli,αυτός που έχει αραιά δόντια,gap-toothed
αντζελοσσιάζουμαι,korkmak,τρομάζω,get scared
αντζελόσσιαση,korku,η τρομάρα,fright
αντινάσσω,sallamak,τινάζω,shake
αντιναχτές,sarsarak pişirilmiş patates,τηγανιτές πατάτες που τις κουνάνε δυνατά,shaken fried potatoes
αξινόστραφος,"ters, tersine","ανάποδος, αντίστροφος","reverse, opposite"
απόπατος,tuvalet,αποχωρητήριο,toilet
άππαρος,erkek at,αρσενικό άλογο,stallion
αππηθκιά,mesafe ölçü birimi,άτυπη μονάδα μέτρησης μήκους,unit of distance
αππίδι,armut,αχλάδι,pear
αππιθκιά,armut ağacı,αχλαδιά,pear tree
αρκάτζιν,dere,ρυάκι,stream
αρκημός,başlangıç,"αρχή, ξεκίνημα",beginning
άρκοψες,yarın akşam,αύριο το βράδυ,tomorrow evening
αρμαρόλα,dolap,ντουλάπα,wardrobe
αρφάλι,göbek deliği,αφαλός,belly button
αρφός,erkek kardeş,αδερφός,brother
ασσελιά,adım mesafesi,μονάδα μέτρησης μήκους ίση με έναν διασκελισμό,step distance
ατζία,ekmeğin kabuğu,η κόρα,bread crust
αυλάτζιν,hendek,αυλάκι,trench
αφτέννω,ateş yakmak,ανάβω,ignite
αψιουρίζουμαι,hapşırmak,φταρνίζομαι,sneeze
Βάκης,Vakis (isim),Βάκης,Vakis (name)
βάκλα,koyun kuyruğu,ουρά του προβάτου,sheep tail
βαρκούμαι,sıkılmak,βαριέμαι,get bored
βαστώ,tutmak,κρατώ,hold
βιλλομούτσουνος,çirkin,πολύ άσχημος άνθρωπος,very ugly person
βίλλος,erkeklik organı,αρσενικό γεννητικό όργανο,male genitalia
βίτσα,ince dal,βέργα,twig
βλαντζί,karaciğer,συκώτι,liver
βολίτζι,çatı kirişi,ξύλινο δοκάρι της στέγης,roof beam
βολώ,çukurda sıkışmak,κόλλησα στις λάσπες,get stuck in mud
βόρτακος,kurbağa,βάτραχος,frog
βόρτος,erkek öküz,αρσενικό βόδι,bull
βούκκα,yanak,μάγουλο,cheek
βουκκαλλέτικον,yanaklı çocuk,παιδί με παχουλά μάγουλα,chubby-cheeked child
βούκκος,lokma,μπουκιά,bite
βουναλλούι,tepecik,λοφάκι,hillock
βουρβουλλάς,sümüklü böcek,γυμνοσάλιαγκας,slug
βούρνα,lavabo,νεροχύτης,sink
βουρνί,hayvan yemliği,ταΐστρα,trough
βούριστρα,koşuşturma,τα τρεχάματα,running around
βούρος,koşmak,τρέξιμο,running
βρίξε,susmak,σώπα,shut up
βυζοκούππι,sütyen,στηθόδεσμος,bra
γαίμα,kan,αίμα,blood
γαμίστρα,yatak,κρεβάτι,bed
γάρος,eşek,γάιδαρος,donkey
γιανίσκω,iyileşmek,αναρρώνω,recover
γιουτώ,uygun olmak,συγκατανεύω,agree
γρόσι,kuruş,μικρό νόμισμα,small coin
δισκοθήκη,diskotek,ντισκοτέκ,discotheque
δίχα,olmadan,δίχως,without
δόντι,diş,δόντι,tooth
δρώμα,ter,ιδρώτας,sweat
έρκουμαι,gelmek,έρχομαι,come
έσιει,var,έχει,has
εσσέξιξι!,öfke ifadesi,εκφράζει αγανάκτηση,expression of anger
έσσω,evde,μέσα,home
ζάβαλλι,zavallı,ταλαιπωρία,poor thing
ζαβός,çarpık,στραβός,crooked
ζαβώνω,çarpıtmak,στραβώνω,twist
ζάμπα,bacak,γάμπα,calf (leg)
ζίζιρος,cırcır böceği,τζίτζικας,cicada
ζίλικουρτι,sus!,σκασμός,shut up
ζώλος,kötü koku,άσχημη μυρωδιά,bad smell
ήντα,ne,τι,what
θαρκούμαι,sanmak,νομίζω,think
θερκό,yılan,φίδι,snake
θκιάλος,şeytan,διάβολος,devil
θωρκά,görünüş,όψη,appearance
θωρώ,görmek,βλέπω,see
καϊλώ,kabul etmek,δέχομαι,accept
κάκκαφα,engebeli arazi,ανώμαλα εδάφη,rough terrain
Κάκα,Georgia'nın kısaltması,Γεωργία'nın takma adı,short for Georgia
Κάκος,Kyriakos'un kısaltması,Κυριάκος'un takma adı,short for Kyriakos
καλό,tabii,αμέ,of course
καλοήρα,sepet,πανέρι,basket
καμμώ,göz kapamak,κλείνω τα μάτια μου,close my eyes
καραόλος,salyangoz,σαλιγκάρι,snail
καρκασαλλίκκι,gürültü,φασαρία,noise
καρκιά,kalp,καρδιά,heart
καρκόλα,yatak,κρεβάτι,bed
καρτζί,karşı,απέναντι,opposite
κάττος,kedi,γάτος,cat
κατρατζύλι,kaydırak,τσουλήθρα,slide
κατσιαρίζω,gürültü yapmak,κάνω θόρυβο,make noise
καύκω,yakmak,καίω,burn
κάφκα,metres,ερωμένη,mistress
Κίκα,Kyriaki'nin kısaltması,Κυριακή'nin takma adı,short for Kyriaki
Κίκης,Kyriakos'un kısaltması,Κυριάκος'un takma adı,short for Kyriakos
κιοφτές,köfte,κεφτές,meatball
κκελλέ,kafa,κεφάλι,head
κκελλετζής,koca kafalı,μεγάλο κεφάλι,big-headed
κκέλης,kel,φαλακρός,bald
κλάτσα,çorap,κάλτσα,sock
Κόκος,Giorgos'un kısaltması,Γιώργος'un takma adı,short for Giorgos
κόλλα,kağıt sayfası,φύλλο χαρτιού,sheet of paper
κομμόροτσος,büyük taş,ακατέργαστη μεγάλη πέτρα,large rough stone
κόρη,kız,κορίτσι,girl
κοτζιάκαρη,yaşlı kadın,γριά,old woman
κοτολέττα,pirzola,μπριζόλα,chop
κότσινος,kırmızı,κόκκινος,red
κότσιρος,dışkı,κουράδα,excrement
κουκκουφκιάος,baykuş,κουκουβάγια,owl
κούλλουφος,bakımsız,ατημέλητος,unkempt
κουπέπι,sarma,ντολμάς,stuffed grape leaves
κουφή,yılan,φίδι,snake
κραμπί,lahana,λάχανο,cabbage
κρούζω,yakmak,καίω,burn
κρώννουμαι,duymak,ακούω,hear
κωλοσύρνω,çekmek,τραβώ,pull
λαλώ,söylemek,λέω,say
λαμπρατζιά,Paskalya ateşi,φωτιά της Ανάστασης,Easter fire
λαομός,korku,τρόμος,fear
λαόνουμαι,korkmak,φοβάμαι,be afraid
λαόνω,korkutmak,τρομάζω,scare
λαός,tavşan,λαγός,hare
λάου λάου,yavaş yavaş,σιγά σιγά,slowly
λάσσω,havlamak,γαυγίζω,bark
λαφαζάνης,lafazan,φαφλατάς,blabbermouth
λαφαζανιά,abartı,υπερβολή,exaggeration
λιγκρίν,bir oyun,παιχνίδι,a game
λίξης,tatlıyı seven,λιγούρης,sweet-toothed
λογιάσματα,nişan töreni,λογοδοσία,engagement ceremony
λογιασμένος,nişanlı,λογοδοσμένος,engaged
λυσσιάρης,aç gözlü,λιγούρης,gluttonous
λυσσιοπινώ,çok aç olmak,πεθαίνω της πείνας,starving
λυσσιώ,kızmak,θυμώνω,get angry
λίω,eritmek,λιώνω,melt
λόττα,domuz,θηλυκό γουρούνι,female pig
λουβί,kara göz fasulyesi,μαυρομάτικο φασόλι,black-eyed pea
λουβούιν,ufalanmış,θρύμμα,crumb
λουβώ,ufalamak,θρυμματίζω,crumble
λούκκος,çukur,λακάκι,dimple
μαείρισσα,tencere,κατσαρόλα,pot
μαϊμούνα,maymun,μαϊμού,monkey
μαϊττάππι,alay,κοροϊδεμα,mockery
μαλαχτός,yumuşak,μαλακός,soft
μαννός,aptal,ηλίθιος,stupid
μαξιλαρόντυμα,yastık kılıfı,μαξιλαροθήκη,pillowcase
μάππα,top,μπάλα,ball
μάππουρος,kozalak,κουκουνάρι,pine cone
μαστραππάς,metal kap,μεταλλικό δοχείο,metal container
μεζετζής,meze sever,αυτός που του αρέσουν οι μεζέδες,one who loves meze
μεσοβυζιά,göğüs arası,ο χώρος ανάμεσα στα στήθη,cleavage
μηάλος,büyük,μεγάλος,big
μηαλιώνας,başparmak,αντίχειρας,thumb
μίλλα,yağ,λίπος,fat
μιτσής,küçük,μικρός,small
μμάτι,göz,μάτι,eye
μονή,yatak,κρεβάτι,bed
μοτόρα,motosiklet,μοτοσυκλέτα,motorcycle
μουβλούκα,yastık,μαξιλάρι,pillow
μούλος,katır,μουλάρι,mule
μουτταρκά,dik arazi,απόκρυμνα έδαφη,steep terrain
μουττάς,büyük burunlu,μεγάλη μύτη,big-nosed
μούττη,burun,μύτη,nose
μούχτιν,bedava,δωρεάν,free
μουχτιτζής,beleşçi,αυτός που επιδιώκει να παίρνει πράγματα δωρεάν,freeloader
μωρεύκουμαι,çocuklaşmak,παλιμπαιδίζω,act childishly
νεύκω,başını sallamak,γνέφω,nod
νησιάνι,askeri rozet,στρατιωτικό διακριτικό,military insignia
νίφκουμαι,yüz yıkamak,νίβομαι,wash face
ντζίζω,dokunmak,αγγίζω,touch
ξηφτερίζω,tüy yolmak,ξεπουπουλιάζω,pluck feathers
ξεροτήανο,lokma tatlısı,λουκουμάς,doughnut
ξιμαρισμένος,kirli,λερωμένος,dirty
όι,hayır,όχι,no
οξά,veya,ή,or
όξινο,limon,λεμόνι,lemon
όξυπνος,zeki,έξυπνος,smart
ορκά,kol mesafesi,μονάδα μέτρησης μήκους,unit of length
ούλλος,tam,ολόκληρος,whole
ούσσου,sus!,σώπα!,shut up!
ούτσιαλι,aşırı yemek,πολύ φαΐ,overeating
οφτός,kızartılmış,ψητός,roasted
παγκούι,küçük bank,παγκάκι,bench
παθκιά,ayak izi,πάτημα,footprint
παλάτι,saray,παλάτι,palace
παλιώνω,güreşmek,παλεύω,wrestle
Πάμπος,Haralambos'un kısaltması,Χαράλαμπος'un takma adı,short for Haralambos
πάννα,iç zar,λεπτή μεμβράνη,thin membrane
παννίζω,ilk kez giymek,χρησιμοποιώ κάτι για πρώτη φορά,wear something for the first time
παουρίζω,bağırmak,φωνάζω,shout
παπίλλαρος,ilk incir,τα πρώτα σύκα,first figs
παπίρα,ördek,πάπια,duck
πάππαλλα,bitti,τέλος,end
παραπόττης,hain,αυτός που κάνει ατιμίες,traitor
παρπέρης,berber,κουρέας,barber
πασιαμάς,eğlence,χαβαλές,fun
πασπίσκοπος,başpiskopos,αρχιεπίσκοπος,archbishop
πασσύς,şişman,παχύς,fat
πατανία,battaniye,κουβέρτα,blanket
πατί,adım,βήμα,step
πατσαρκά,tokat,χαστούκι,slap
πατσιαούρα,bakımsız kadın,ατημέλητη γυναίκα,unkempt woman
πατταλόνι,pantolon,παντελόνι,pants
παττίχα,karpuz,καρπούζι,watermelon
πεζούνι,güvercin,περιστέρι,pigeon
πελλαμός,delilik,τρέλλα,madness
πελλανίσκω,delirmek,τρελλαίνομαι,go mad
πελλάρα,delilik,τρέλλα,madness
πελλός,deli,τρελλός,crazy
πηλός,çamur,λάσπη,mud
πιθκιάυλι,kaval,πνευστό μουσικό όργανο,flute
πιθκιαβλοζάμπης,ince bacaklı,λεπτά πόδια,thin-legged
πιλέ,zaten,ήδη,already
πίσσα,sakız,τσίχλα,chewing gum
πιττώνω,baskı yapmak,πλακώνω,press down
πλυννίσκω,yıkamak,πλένω,wash
ποζαύλιν,kül,αποκαΐδι,ash
ποζουρτώ,çok yorulmak,κουράζομαι πάρα πολύ,get very tired
ποήνα,çizme,μπότα,boot
πόι,ayak,πόδι,foot
ποθκιά,önlük,ποδιά,apron
ποθκιάντροπος,utanmaz,ξεδιάντροπος,shameless
ποϊνάρι,paça,μπατζάκι,trouser leg
πολογιάζω,kovmak,αποδιώχνω,drive away
πομιλόρι,domates,ντομάτα,tomato
πόμπα,bomba,βόμβα,bomb
ποξαμάτι,peksimet,παξιμάδι,rusk
πορνόν πορνόν,sabahın köründe,πρωί πρωί,early morning
πότσα,şişe,μπουκάλα,bottle
'πο τζεί,oradan,από εκεί,from there
πούζα,kasık fıtığı,κήλη,hernia
πούκουππα,ters,ανάποδα,upside down
πουλλαόφωνος,ince sesli,λεπτή φωνή,high-pitched voice
πούλλες,kızartılmış patlıcan dilimleri,τηγανιτές φέτες μελιτζάνας,fried eggplant slices
πουπούξιος,baykuş,κουκουβάγια,owl
πουρέκκα,tatlı kız,γλυκιά κοπέλα,sweet girl
πουρέκκι,börek,μπουρέκι,borek
πουττεύκω,korkmak,δειλιάζω,be afraid
πούττος,kadın cinsel organı,γυναικείο γεννητικό όργανο,female genitalia
ποφκάλλω,yormak,κουράζω,tire out
ππάλα,balta,μπαλτάς,cleaver
ππαλουζές,üzüm jölesi,μουσταλευριά,grape jelly
ππαραόπιστος,cimri,τσιγκούνης,stingy
ππαράς,para,χρήμα,money
ππεζεβένγκης,kerata,κερατάς,cuckold
ππούλλι,aptal,ηλίθιος,idiot
ππουνιά,yumruk,γροθιά,punch
ππουρτού,eşyalar,τα υπάρχοντα,belongings
πρότσα,çatal,πηρούνι,fork
πυρά,sıcaklık,ζέστη,heat
πυρκολώ,ateş yakmak,βάζω φωτιά,set fire
ρα,kızlar için hitap,αναφορά προς κοπέλα,address to girls
ρέσσω,geçmek,περνώ,pass
ριάλια,para,λεφτά,money
ρότσος,taş,πέτρα,stone
σάζω,düzenlemek,φτιάχνω,fix
σάκκος,palto,παλτό,coat
σαντανωσιά,kargaşa,ανακατοσούρα,turmoil
σαρκά,süpürge,σκούπα,broom
σάτζη,sığ tava,ρηχό μεταλλικό μαγειρικό σκεύος,shallow pan
σβηστήρι,silgi,γομολάστιχα,eraser
σεντ,kuruş,νόμισμα,cent
σεφταλιά,köfte,κρέας τυλιγμένο σε μεμβράνη,meat wrapped in membrane
σιακατούρι,yokuş aşağı,κατηφόρα,downhill
σιεηττάνης,yaramaz,άτακτος,mischievous
σιεροκουτάλα,meraklı kadın,περίεργη γυναίκα,curious woman
σιέζω,kaka yapmak,χέζω,poop
σιέρι,el,χέρι,hand
σίερο,demir,σίδερο,iron
σιερώνω,ütülemek,σιδερώνω,iron (clothes)
σιερώστρα,ütü masası,σιδερώστρα,ironing board
σιέσης,korkak,δειλός,coward
σιονώνω,dökmek,χύνομαι,spill
σιόρ,bey,κύριος,mister
σιουσιούκκος,geleneksel tatlı,παραδοσιακό κυπριακό γλυκό,traditional sweet
σίστος,kadın cinsel organı,γυναικείο γεννητικό όργανο,female genitalia
σκαρπάρης,kunduracı,τσαγκάρης,cobbler
σκατούλλικα,taşlarla oynanan oyun,παιχνίδι με πέτρες,game with stones
σκεμπέ,karın,κοιλιά,belly
σκεμπετζής,göbekli,κοιλαράς,pot-bellied
σκλουβέρι,işlemeli kumaş,κεντητό ύφασμα,embroidered fabric
σκουλούτζι,solucan,σκουλήκι,worm
σμιλί,ince iğne,μικρή μεταλλική βελόνα,fine needle
σοίρος,domuz,γουρούνι,pig
σούζω,sallamak,κουνώ,shake
σούσα,salıncak,κούνια,swing
σπαρκώνω,çiftleşme zamanı,περίοδος ζευγαρώματος,mating season
σσιάζουμαι,bakmak,βλέπω,see
σσίζω,yırtmak,σκίζω,tear
σούζμα,sallanma,κούνημα,rocking
σσεπέττος,tüfek,κυνηγετικό όπλο,shotgun
σσυλλόπελλος,çılgın,τρελός,crazy
σσύλλος,köpek,σκύλος,dog
Στάλω,Hristina'nın kısaltması,Χρυσή'nin takma adı,short for Hristina
στετέ,büyük anne,γιαγιά,grandmother
στράτα,yol,δρόμος,road
συλάρι,bulamaç,χυλός,gruel
συνάω,toplamak,μαζεύω,gather
συνότζιαιρος,akran,συνομήλικος,peer
συντυχάνω,sohbet etmek,συνομιλώ,converse
σύξηλος,şok olmak,άναυδος,shocked
σύρνω,atmak,ρίχνω,throw
σωρόφκω,toplamak,συγκεντρώνω,collect
τάβλα,masa,τραπέζι,table
ταπέλλα,tabela,πινακίδα,sign
ττάππος,tıkacı,φελλός,cork
τατάς,vaftiz babası,νονός,godfather
τζαί,ve,και,and
τζιαμέ,orada,εκεί,there
τζυλώ,yuvarlanmak,κυλώ,roll
τζείνη,o (dişi),εκείνη,she
τζείνος,o (eril),εκείνος,he
τζισβές,cezve,μπρίκι,coffee pot
τζίτρινος,sarı,κίτρινος,yellow
τζοιμούμαι,uyumak,κοιμάμαι,sleep
τζυλώ,yuvarlanmak,κυλώ,roll
τηάνι,tava,τηγάνι,frying pan
τηανίζω,kızartmak,τηγανίζω,fry
τιτσίν,parça,κομμάτι,piece
τίτσιρος,çıplak,γυμνός,naked
τουρτουρώ,titremek,τουρτουρίζω,shiver
τράουλλος,teke,τράγος,goat
τρι,ev yapımı makarna,χειροποίητα ζυμαρικά,handmade pasta
τσαέρα,sandalye,καρέκλα,chair
τσανιάζω,tırmalamak,γρατσουνώ,scratch
τσεντί,cüzdan,πορτοφόλι,wallet
τσενγκένης,çingene,γύφτος,gypsy
τσιλλώ,itmek,σπρώχνω,push
τσιφτές,bozuk para,μικρό νόμισμα,small coin
τσούρα,keçi,κατσίκα,goat
τταλαττούρι,cacık,τζατζίκι,tzatziki
Τταλού,Hristina'nın kısaltması,Χρυσή'nin takma adı,short for Hristina
τταπουροκολού,motosiklet,μοτοσυκλέτα,motorcycle
φακκώ,vurmak,χτυπώ,hit
φάουσα,sus,σκασμός,shut up
φίνα,küçük yılan,μικρό φίδι,small snake
φκάλλω,çıkarmak,βγάζω,remove
φκιακάς,büyük kulaklı,μεγάλα αυτιά,big-eared
φκιολάρης,kemanist,βιολιστής,violinist
φκιολί,keman,βιολί,violin
φκιόρο,çicek,λουλούδι,flower
φλόκκος,paspas,σφουγγαρίστρα,mop
φόκος,ateş,φωτιά,fire
φουκού,barbekü,μεταλλικό δοχείο,barbecue
φουντάνα,musluk,βρύση,faucet
φρουτσίν,fırça,πινέλο,brush
φτείρα,bit,ψείρα,lice
φτιν,kulak,αυτί,ear
φωθκιά,ateş,φωτιά,fire
χάι χούι,eğlence,χαβαλές,fun
χαμαί,yere,κάτω,down
Χαμπής,Haralambos'un kısaltması,Χαράλαμπος'un takma adı,short for Haralambos
χαρτούτσα,fişek,φυσίγγιο,cartridge
χαρτωμένος,nişanlı,αρραβωνιασμένος,engaged
χογλώ,kaynatmak,βράζω,boil
χτηνό,hayvan,κτήνος,animal
χτίν,havan,γουδί,mortar
χτιτσιό,pislik,βρωμιά,filth
χτιτσιολοώ,kötü kokmak,βρωμάω,stink
χτοσιέριν,havan tokmağı,γουδοχέρι,pestle
ψατζή,zehir,δηλητήριο,poison
ψάρι,balık,ψάρι,fish
Adez,Kırılmış mercimek,Σπασμένες φακές,Broken lentils
Barbadusa,Yürüteç,Περπατούρα,Walker (baby walker)
Guruvulla,Cehennem topuzu,Ρόπαλο της κόλασης,Hell's mace
Gulumbra,Cehennem topuzu,Ρόπαλο της κόλασης,Hell's mace
Caket,Ceket,Σακάκι,Jacket
Açuçu,"Köpekleri çağırırken kullanılan ses, kuçu kuçu","Φωνή για να καλέσεις σκύλους, κούτσου κούτσου","Sound used to call dogs, kootsoo kootsoo"
Adiyo,Papazaltadan,Πάτερ Νόστρουμ (παράδειγμα),From the priest's house
Açacak,"Anahtar, kilidi açıp kapatmak için kullanılan alet","Κλειδί, εργαλείο για άνοιγμα κλειδαριάς","Key, tool used for opening and closing locks"
Açgi,Oklava,Πλάστης,Rolling pin
Karnabit,"Çiçek Lahanası, Değirmenlik (Kytrea) bölgesinden yetiştirilmiş",Κουνουπίδι από την περιοχή Κιότρεα,Cauliflower from the Kytrea region
Çilenmek,Çile çekmek,Υποφέρω,To suffer
Çilte,Şilte,Στρώμα,Mattress
Cimcik,Çimcimlemek,Τσιμπήματα,Pinch
Cimciklemek,Çimcimlemek,Τσιμπώ,To pinch
Cıngı,Kıvılcım,Σπινθήρας,Spark
Labicana,"Dabacana, su bidonu",Δοχείο νερού,Water container
Daban,"Düz ayak, ayakkabının alt tabanı","Πατούσα, σόλα παπουτσιού","Flat foot, shoe sole"
Darbaz,Kaba yapılı kişi,Χοντροκομμένος άνθρωπος,Rough-built person
Dibelik,"Büsbütün, daima","Εντελώς, πάντα","Completely, always"
Argasti,"Sürüngen, saçak halindeki kökleri derinlere giden muzır ot","Ερπετό, επιβλαβές φυτό με ρίζες που πηγαίνουν βαθιά","Reptile, harmful plant with roots that go deep"
Ali Dayı,Kaba,Χοντροκομμένος,Rough
Dayday,"Çocuğun yavaş yavaş yürümesi, çocuğun yürümesini sağlayan alet","Περπάτημα αργά από το παιδί, εργαλείο για το περπάτημα","Child walking slowly, walking aid for children"
Daydaylamak,Çocuk gibi yavaş yavaş yürümek,Περπατώ αργά σαν παιδί,To walk slowly like a child
Debozito,Teminat,Εγγύηση,Guarantee
Depozito,Teminat,Εγγύηση,Guarantee
Dedirgin,Tedirgin,Ανήσυχος,Uneasy
Garulya,Kıbrıs'a ait fincan işi,Κύπριος καφές,Cyprus coffee
Carozza,Fayton/payton,Αμαξάκι,Carriage
Gastanya,"Kayıngillerden, kerestesi güzel bir orman ağacı","Κάστανο, δέντρο με καλής ποιότητας ξύλο","Chestnut, a tree with good quality wood"
Gaşer,"Kasiyer, kasada para almak için bekleyen kişi",Ταμίας,Cashier
Gatsambroki,"Başsız, tahtadan kibrit yarısı","Ακέφαλος, ξύλινο μισό σπίρτο","Headless, half wooden matchstick"
Gatsavida,Bükü,Βίδα,Screw
Gatsignora,"Serçegillerden, kargaya benzeyen, uzun kuyruklu bir kuş. Pica Pica, Saksağan","Κίσσα, πουλί με μακριά ουρά που μοιάζει με κοράκι","Magpie, long-tailed bird similar to a crow"
Gavorgana,Tanrı cezanı versin,Ο Θεός να σε τιμωρήσει,May God punish you
Gavvorgane,Tanrı cezanı versin,Ο Θεός να σε τιμωρήσει,May God punish you
Gavuri,Erkek eşek,Γάιδαρος (αρσενικός),Male donkey
